timestamp,open,high,low,close,volume
2025-11-13 09:15:00,25906.1,25906.8,25834.2,25844.35,6804757.0
2025-11-13 09:16:00,25842.85,25846.2,25834.6,25846.2,4008806.0
2025-11-13 09:17:00,25847.1,25857.9,25845.55,25854.75,3608094.0
2025-11-13 09:18:00,25854.7,25856.15,25842.35,25842.85,3726478.0
2025-11-13 09:19:00,25841.7,25847.85,25837.8,25843.95,3117311.0
2025-11-13 09:20:00,25842.75,25843.3,25826.35,25826.9,2052719.0
2025-11-13 09:21:00,25827.4,25830.8,25820.45,25822.05,1943384.0
2025-11-13 09:22:00,25821.9,25821.9,25808.4,25814.35,1906795.0
2025-11-13 09:23:00,25812.95,25833.15,25812.7,25831.0,1877094.0
2025-11-13 09:24:00,25830.45,25846.45,25830.35,25846.45,1979776.0
2025-11-13 09:25:00,25847.35,25865.25,25846.4,25865.25,2243599.0
2025-11-13 09:26:00,25864.95,25874.5,25864.45,25873.45,1397577.0
2025-11-13 09:27:00,25873.25,25877.2,25869.15,25875.15,1328647.0
2025-11-13 09:28:00,25874.7,25886.2,25873.55,25885.15,1280075.0
2025-11-13 09:29:00,25885.45,25887.75,25874.6,25875.55,1801289.0
2025-11-13 09:30:00,25875.8,25877.75,25871.4,25874.35,1422671.0
2025-11-13 09:31:00,25874.95,25876.5,25865.5,25875.65,1073157.0
2025-11-13 09:32:00,25875.15,25876.6,25870.85,25870.85,1054011.0
2025-11-13 09:33:00,25871.2,25874.55,25869.1,25869.1,1014683.0
2025-11-13 09:34:00,25869.0,25869.0,25847.4,25849.15,1504411.0
2025-11-13 09:35:00,25848.25,25857.7,25842.35,25842.35,1184743.0
2025-11-13 09:36:00,25840.5,25842.4,25831.9,25832.45,1333064.0
2025-11-13 09:37:00,25831.9,25840.3,25831.9,25837.7,700586.0
2025-11-13 09:38:00,25837.8,25842.55,25837.0,25837.95,903843.0
2025-11-13 09:39:00,25838.95,25840.75,25835.95,25840.2,862497.0
2025-11-13 09:40:00,25841.15,25847.8,25840.1,25843.95,919461.0
2025-11-13 09:41:00,25844.15,25847.95,25840.35,25841.45,864605.0
2025-11-13 09:42:00,25841.0,25844.7,25837.3,25844.25,816238.0
2025-11-13 09:43:00,25844.85,25849.8,25841.85,25843.65,671679.0
2025-11-13 09:44:00,25843.3,25858.4,25842.3,25857.0,697103.0
2025-11-13 09:45:00,25856.3,25870.4,25855.55,25870.4,657308.0
2025-11-13 09:46:00,25871.0,25874.95,25870.0,25873.45,1100873.0
2025-11-13 09:47:00,25873.55,25877.55,25873.5,25875.65,820475.0
2025-11-13 09:48:00,25875.85,25882.95,25875.7,25878.2,819820.0
2025-11-13 09:49:00,25878.25,25880.65,25874.2,25879.85,723314.0
2025-11-13 09:50:00,25880.45,25887.55,25879.3,25886.8,612539.0
2025-11-13 09:51:00,25887.0,25888.4,25880.65,25884.3,597136.0
2025-11-13 09:52:00,25884.35,25884.35,25880.75,25883.35,693027.0
2025-11-13 09:53:00,25883.1,25883.1,25872.55,25873.05,585204.0
2025-11-13 09:54:00,25873.0,25873.25,25864.8,25864.95,547848.0
2025-11-13 09:55:00,25865.25,25865.25,25858.8,25862.1,773357.0
2025-11-13 09:56:00,25862.15,25871.4,25861.85,25870.75,551497.0
2025-11-13 09:57:00,25871.05,25876.1,25871.05,25875.45,638043.0
2025-11-13 09:58:00,25875.45,25876.45,25870.5,25870.7,991852.0
2025-11-13 09:59:00,25870.3,25880.0,25870.3,25877.65,529904.0
2025-11-13 10:00:00,25876.9,25880.7,25873.6,25874.4,693424.0
2025-11-13 10:01:00,25874.6,25883.95,25873.05,25883.4,895249.0
2025-11-13 10:02:00,25883.0,25886.8,25880.65,25882.75,734208.0
2025-11-13 10:03:00,25882.75,25884.8,25880.4,25883.7,895554.0
2025-11-13 10:04:00,25883.7,25884.4,25875.5,25876.35,708601.0
2025-11-13 10:05:00,25876.85,25880.1,25873.9,25876.0,1143774.0
2025-11-13 10:06:00,25876.1,25880.9,25874.9,25879.7,748754.0
2025-11-13 10:07:00,25879.35,25892.3,25877.05,25892.2,1532380.0
2025-11-13 10:08:00,25892.25,25897.05,25892.05,25894.35,1032979.0
2025-11-13 10:09:00,25894.3,25898.2,25892.9,25894.9,830013.0
2025-11-13 10:10:00,25896.2,25900.25,25892.2,25899.4,953810.0
2025-11-13 10:11:00,25899.25,25899.25,25892.55,25895.5,828073.0
2025-11-13 10:12:00,25895.55,25895.95,25891.45,25894.1,755333.0
2025-11-13 10:13:00,25895.45,25896.15,25892.75,25892.9,547523.0
2025-11-13 10:14:00,25893.15,25898.95,25893.15,25898.5,589517.0
2025-11-13 10:15:00,25898.55,25907.25,25898.55,25903.95,816123.0
2025-11-13 10:16:00,25905.1,25906.4,25897.9,25898.1,923929.0
