timestamp,open,high,low,close,volume
2025-03-20 09:15:00,23036.599609375,23042.19921875,22994.400390625,23007.85,0.0
2025-03-20 09:16:00,23007.3,23016.5,23006.3,23013.5,0.0
2025-03-20 09:17:00,23013.85,23022.35,23009.5,23021.45,0.0
2025-03-20 09:18:00,23021.6,23026.25,23016.95,23024.0,0.0
2025-03-20 09:19:00,23023.8,23029.9,23020.3,23022.0,0.0
2025-03-20 09:20:00,23022.3,23027.7,23016.25,23018.6,0.0
2025-03-20 09:21:00,23016.8,23024.75,23013.5,23022.6,0.0
2025-03-20 09:22:00,23021.05,23037.95,23021.05,23036.1,0.0
2025-03-20 09:23:00,23036.95,23048.5,23030.15,23048.35,0.0
2025-03-20 09:24:00,23048.7,23061.94921875,23048.25,23058.45,0.0
2025-03-20 09:25:00,23059.45,23062.849609375,23040.5,23046.4,0.0
2025-03-20 09:26:00,23047.75,23050.05,23036.15,23040.45,0.0
2025-03-20 09:27:00,23040.2,23054.2,23033.05,23052.95,0.0
2025-03-20 09:28:00,23053.35,23059.95,23049.6,23049.6,0.0
2025-03-20 09:29:00,23050.0,23065.44921875,23048.15,23065.2,0.0
2025-03-20 09:30:00,23064.65,23070.05078125,23058.3,23058.95,0.0
2025-03-20 09:31:00,23059.65,23066.15,23059.65,23065.35,0.0
2025-03-20 09:32:00,23064.7,23068.8,23061.2,23063.65,0.0
2025-03-20 09:33:00,23062.7,23070.25,23058.35,23058.35,0.0
2025-03-20 09:34:00,23058.8,23065.65,23055.55,23065.65,0.0
2025-03-20 09:35:00,23066.05,23069.55,23065.6,23069.15,0.0
2025-03-20 09:36:00,23069.6,23071.099609375,23064.5,23065.65,0.0
2025-03-20 09:37:00,23064.75,23066.7,23061.55,23066.45,0.0
2025-03-20 09:38:00,23065.65,23065.95,23052.0,23052.0,0.0
2025-03-20 09:39:00,23052.55,23052.55,23043.1,23046.85,0.0
2025-03-20 09:40:00,23046.4,23053.3,23041.0,23041.0,0.0
2025-03-20 09:41:00,23040.9,23053.6,23034.1,23053.6,0.0
2025-03-20 09:42:00,23054.55,23057.4,23043.55,23047.7,0.0
2025-03-20 09:43:00,23047.15,23051.05,23044.5,23047.6,0.0
2025-03-20 09:44:00,23047.4,23054.4,23047.4,23053.55,0.0
2025-03-20 09:45:00,23054.25,23055.45,23035.35,23037.95,0.0
